Time: 141.424 sec | LT Button: 16
Time: 141.650 sec | X Button: 8
Time: 141.776 sec | B Button: 27
Time: 141.970 sec | A Button: 5
Time: 142.145 sec | A Button: 6
Time: 142.350 sec | B Button: 28
Time: 142.362 sec | RT Button: 22
Time: 142.510 sec | LT Button: 17
Time: 142.650 sec | RT Button: 23
Time: 142.722 sec | LT Button: 18
Time: 144.268 sec | LB Button: 8
Time: 144.513 sec | LB Button: 9
Time: 144.711 sec | LB Button: 10
Time: 144.929 sec | LB Button: 11
Time: 145.119 sec | LB Button: 12
Time: 145.291 sec | LB Button: 13
Time: 145.473 sec | LB Button: 14
Time: 145.661 sec | LB Button: 15
Time: 145.818 sec | LB Button: 16
Time: 145.984 sec | LB Button: 17
Time: 146.373 sec | LB Button: 18
Time: 146.599 sec | LB Button: 19
Time: 146.814 sec | LB Button: 20
Time: 147.008 sec | LB Button: 21
Time: 147.240 sec | RB Button: 9
Time: 147.441 sec | RB Button: 10
Time: 147.614 sec | RB Button: 11
Time: 147.780 sec | RB Button: 12
Time: 147.939 sec | RB Button: 13
Time: 148.104 sec | RB Button: 14
Time: 148.117 sec | RB Button: 15
Time: 148.322 sec | Y Button: 17
Time: 148.505 sec | Y Button: 18
Time: 148.660 sec | Y Button: 19
Time: 148.819 sec | X Button: 9
Time: 148.866 sec | Y Button: 20
Time: 149.007 sec | X Button: 10
Time: 149.066 sec | Y Button: 21
Time: 149.134 sec | X Button: 11
Time: 149.204 sec | Y Button: 22
Time: 149.304 sec | X Button: 12
Time: 149.435 sec | A Button: 7
Time: 149.596 sec | B Button: 29
Time: 149.746 sec | A Button: 8
Time: 149.795 sec | B Button: 30
Time: 149.925 sec | A Button: 9
Time: 150.064 sec | B Button: 31
Time: 150.255 sec | Right: 1
Time: 150.478 sec | Right: 2
Time: 150.545 sec | Up: 1
Time: 150.656 sec | Left: 1
Time: 150.729 sec | Down: 1
Time: 150.821 sec | Right: 3
Time: 150.877 sec | Up: 2
Time: 150.946 sec | Left: 2
Time: 151.045 sec | Down: 2
Time: 151.088 sec | Right: 4
Time: 151.164 sec | Up: 3
Time: 151.231 sec | Left: 3
Time: 151.324 sec | Down: 3
Time: 151.371 sec | Right: 5
Time: 151.435 sec | Up: 4
Time: 151.493 sec | Left: 4
Time: 151.580 sec | Down: 4
Time: 151.609 sec | Right: 6
Time: 151.698 sec | Up: 5
Time: 151.741 sec | Left: 5
Time: 151.835 sec | Down: 5
Time: 151.870 sec | Right: 7
Time: 151.961 sec | Up: 6
Time: 152.014 sec | Left: 6
Time: 152.102 sec | Down: 6
Time: 152.127 sec | Right: 8
Time: 152.139 sec | Right: 9
Time: 152.271 sec | Up: 7
